Date,Open,High,Low,Close,Volume
2024-03-14,462.3,474.0,455.3,459.6,2242715
2024-03-15,461.7,471.2,452.15,462.9,4640731
2024-03-18,463.95,484.65,457.1,471.55,4228652
2024-03-19,477.0,487.4,461.65,464.6,4509634
2024-03-20,467.7,472.95,457.1,465.5,1219013
2024-03-21,468.0,476.5,468.0,469.05,1405954
2024-03-22,464.0,469.9,460.5,463.0,909462
2024-03-26,464.8,484.5,464.0,478.3,2394858
2024-03-27,481.0,481.5,472.5,475.25,1176943
2024-03-28,478.95,478.95,462.3,465.6,912126
2024-04-01,470.0,481.5,468.25,475.0,1286977
2024-04-02,479.3,479.3,471.4,474.55,936571
2024-04-03,475.0,497.0,474.8,494.6,4762208
2024-04-04,503.0,506.5,492.0,493.7,3016476
2024-04-05,494.1,503.0,491.1,497.4,1978252
2024-04-08,500.0,501.0,485.05,488.7,1565940
2024-04-09,491.3,495.05,483.15,491.3,1156430
2024-04-10,490.95,497.5,486.4,494.7,947568
2024-04-12,492.7,494.95,488.35,493.25,1290165
2024-04-15,484.25,485.3,472.4,481.1,1245053
2024-04-16,477.0,493.4,475.2,489.25,936278
2024-04-18,491.9,505.0,490.5,500.5,3221632
2024-04-19,490.0,506.0,484.9,498.8,1712524
2024-04-22,500.2,514.0,491.5,493.65,3754624
2024-04-23,493.0,499.4,492.35,494.15,1734671
2024-04-24,497.4,499.5,491.6,493.75,3223755
2024-04-25,493.75,498.75,487.5,493.0,1104525
2024-04-26,495.5,496.9,484.0,484.95,1866738
2024-04-29,489.9,495.05,483.25,488.95,2272725
2024-04-30,507.8,507.8,487.0,490.65,7599283
2024-05-02,494.9,496.0,482.1,492.25,4441977
2024-05-03,494.0,496.0,481.5,483.7,1246656
2024-05-06,491.0,492.0,475.55,478.15,1111781
2024-05-07,478.15,480.8,468.55,471.55,993072
2024-05-08,472.65,474.0,463.0,468.8,1006758
2024-05-09,470.0,471.3,450.0,452.2,713992
2024-05-10,453.4,466.6,453.05,462.85,795421
2024-05-13,457.3,461.0,451.2,456.7,894662
2024-05-14,465.0,469.65,459.15,468.65,765118
2024-05-15,471.45,474.55,464.4,465.95,742619
2024-05-16,469.3,478.8,464.6,467.95,867804
2024-05-17,469.85,470.05,462.0,463.5,966353
2024-05-21,465.95,465.95,457.0,458.65,790413
2024-05-22,460.0,465.0,454.35,455.4,768197
2024-05-23,458.0,464.25,457.6,460.85,573107
2024-05-24,460.55,462.9,453.05,458.25,1090975
2024-05-27,460.15,460.85,448.1,449.05,733100
2024-05-28,451.0,451.85,441.0,444.9,819864
2024-05-29,444.75,450.85,441.0,449.5,576547
2024-05-30,448.9,451.7,441.05,448.55,591478
2024-05-31,448.0,452.4,441.1,449.1,803797
2024-06-03,469.0,469.0,446.7,450.95,1405699
2024-06-04,455.0,455.0,396.8,423.05,2213122
2024-06-05,432.2,439.7,410.55,435.1,1168974
2024-06-06,438.0,455.7,438.0,451.75,1268179
2024-06-07,453.65,472.4,452.5,465.5,3066255
2024-06-10,467.65,470.4,423.05,426.35,14735029
2024-06-11,436.0,448.0,435.15,439.6,6557336
2024-06-12,442.0,447.8,439.05,442.2,1814528
2024-06-13,442.1,446.95,434.05,436.1,1508922
2024-06-14,439.7,441.55,434.2,437.35,1084141
2024-06-18,440.1,441.0,432.0,433.55,2174311
2024-06-19,435.75,435.75,423.1,423.9,6385757
2024-06-20,423.05,430.7,421.6,422.4,1855484
2024-06-21,424.0,428.05,417.5,421.15,1848212
2024-06-24,419.0,423.25,412.05,417.25,1532660
2024-06-25,419.8,432.9,419.45,424.7,3256740
2024-06-26,424.5,426.2,415.5,416.6,1214112
2024-06-27,417.5,420.7,401.0,406.35,2427956
2024-06-28,410.0,417.15,407.0,409.1,1941946
2024-07-01,415.0,422.65,413.0,422.0,1931325
2024-07-02,422.0,425.5,418.2,419.65,1368657
2024-07-03,420.8,425.8,414.0,416.85,4853719
2024-07-04,419.0,422.9,414.0,419.25,3958118
2024-07-05,420.9,434.5,417.3,428.7,6125954
2024-07-08,434.0,436.95,421.0,423.05,6016488
2024-07-09,425.1,426.5,416.0,417.2,10202686
2024-07-10,418.0,420.4,403.9,406.0,7832047
2024-07-11,407.9,411.0,403.55,405.0,5944357
2024-07-12,406.0,410.45,403.2,404.35,3075252
2024-07-15,406.4,408.65,399.35,400.6,1756731
2024-07-16,402.0,417.4,402.0,415.6,4365562
2024-07-18,415.6,417.8,407.65,413.25,1687514
2024-07-19,413.3,415.0,401.4,411.8,2025916
2024-07-22,408.95,413.0,401.55,404.05,2616626
2024-07-23,405.0,407.4,383.0,391.25,2480211
2024-07-24,392.8,397.05,379.35,380.55,3679219
2024-07-25,380.55,385.5,364.25,365.65,4951635
2024-07-26,370.0,379.4,365.95,375.7,5381537
2024-07-29,380.0,384.85,377.55,381.05,2199811
2024-07-30,382.7,385.5,369.7,370.85,2799935
2024-07-31,373.75,376.45,368.0,369.05,2730874
2024-08-01,370.0,372.7,358.4,359.8,3179246
2024-08-02,357.9,364.85,351.0,362.5,2952287
2024-08-05,351.0,355.55,343.5,345.75,2764797
2024-08-06,350.6,354.5,341.0,342.5,1996941
2024-08-07,348.0,354.3,343.3,351.85,1945243
2024-08-08,353.0,376.9,350.1,368.8,7646376
2024-08-09,372.9,374.9,362.5,365.8,2070301
2024-08-12,366.0,366.35,356.35,363.2,2077861
2024-08-13,363.2,364.75,354.7,356.15,1197247
2024-08-14,356.25,357.5,349.6,354.35,1162325
2024-08-16,357.5,368.95,356.6,362.35,1513508
2024-08-19,364.1,373.35,361.6,371.0,1881962
2024-08-20,372.9,402.0,371.4,399.75,12254894
2024-08-21,403.0,408.0,395.0,399.95,4622175
2024-08-22,403.0,407.0,392.65,403.0,2820365
2024-08-23,403.0,403.9,398.8,400.4,1458865
2024-08-26,402.0,409.5,396.1,406.45,3122374
2024-08-27,407.0,407.0,399.8,402.55,1258005
2024-08-28,402.4,414.0,398.5,399.7,2706349
2024-08-29,399.1,402.65,390.1,392.55,1575322
2024-08-30,393.9,395.65,387.0,387.3,2160953
2024-09-02,388.0,393.65,385.75,388.2,1256973
2024-09-03,390.0,394.7,383.5,384.4,1300302
2024-09-04,381.5,388.0,380.1,385.25,1169948
2024-09-05,386.95,394.45,385.25,390.1,1393848
2024-09-06,389.0,390.25,381.85,385.3,1262695
2024-09-09,385.0,385.6,373.6,380.25,1323190
2024-09-10,381.0,395.6,381.0,392.2,2125594
2024-09-11,393.0,401.0,391.25,394.0,2277793
2024-09-12,396.0,404.0,393.5,396.75,1863513
2024-09-13,398.95,405.5,395.95,400.6,1949107
2024-09-16,401.8,405.9,392.0,394.0,1232435
2024-09-17,394.0,403.95,389.6,400.2,2160007
2024-09-18,402.0,406.3,393.95,396.35,2369346
2024-09-19,398.5,403.5,390.15,397.4,1595675
2024-09-20,397.3,405.9,393.55,405.15,2977088
2024-09-23,405.5,409.0,399.05,400.9,1615114
2024-09-24,403.05,403.9,395.15,397.45,1043492
2024-09-25,396.9,406.8,392.65,404.1,2406766
2024-09-26,404.1,405.0,396.35,399.6,1458774
2024-09-27,399.45,400.55,394.25,395.8,1682338
2024-09-30,396.0,397.1,391.8,394.45,1012736
2024-10-01,394.0,407.65,393.1,400.9,2133464
2024-10-03,397.95,399.4,388.8,393.35,1481737
2024-10-04,392.0,398.0,382.85,394.95,2441727
2024-10-07,399.0,399.95,377.45,379.95,1623683
2024-10-08,375.0,381.7,371.25,374.25,1683333
2024-10-09,377.1,391.65,376.55,390.25,1961176
2024-10-10,392.25,392.95,386.05,388.1,866102
2024-10-11,386.4,388.0,380.05,380.7,752564
2024-10-14,381.05,383.3,378.6,380.3,548028
2024-10-15,381.2,381.5,377.95,379.9,519600
2024-10-16,379.8,386.05,379.4,381.0,553697
2024-10-17,382.6,383.85,373.6,376.45,741726
2024-10-18,377.4,378.45,370.35,376.0,615531
2024-10-21,378.4,382.25,374.6,376.7,1900112
2024-10-22,378.0,379.35,360.7,363.3,2312880
2024-10-23,361.55,365.05,355.95,360.65,1152526
2024-10-24,360.65,365.95,356.3,358.7,686774
2024-10-25,358.9,360.2,287.0,297.05,12657285
2024-10-28,290.0,326.25,270.05,319.65,20132899
2024-10-29,316.2,349.4,305.15,339.55,19594115
2024-10-30,336.5,379.0,335.0,376.0,25962408
2024-10-31,370.0,382.95,358.25,374.5,6166440
2024-11-01,375.1,383.7,375.1,378.25,922708
2024-11-04,374.0,381.8,361.05,375.8,4435322
2024-11-05,379.0,379.0,364.9,369.85,1455043
2024-11-06,362.2,382.0,362.2,379.4,2556751
2024-11-07,379.5,380.0,372.85,376.05,855791
2024-11-08,370.65,374.25,364.0,365.9,1143999
2024-11-11,365.1,367.15,340.05,360.95,1068749
2024-11-12,362.35,371.9,359.55,361.65,1248305
2024-11-13,361.65,363.3,345.4,347.45,1021221
2024-11-14,346.0,362.5,344.55,355.95,1456921
2024-11-18,355.95,360.0,351.4,356.3,746307
2024-11-19,359.5,364.0,355.55,358.3,733962
2024-11-21,356.4,362.75,350.15,360.2,854194
2024-11-22,360.0,363.0,353.85,355.65,727375
2024-11-25,359.95,366.0,355.65,360.05,1727891
2024-11-26,360.05,367.0,359.8,363.6,1735884
2024-11-27,363.65,365.6,361.0,362.65,840331
2024-11-28,362.65,377.0,362.35,372.7,1845388
2024-11-29,373.2,374.9,343.95,354.45,6774182
2024-12-02,354.45,359.65,343.15,344.3,2667475
2024-12-03,345.0,351.7,340.7,348.55,2038867
2024-12-04,350.0,361.6,350.0,358.6,2617234
2024-12-05,360.8,361.4,355.5,358.45,1099527
2024-12-06,359.0,362.75,352.0,353.3,1688591
2024-12-09,351.75,362.9,341.6,359.85,4126996
2024-12-10,360.75,367.0,354.85,358.9,3009520
2024-12-11,357.05,373.3,356.7,364.35,3921844
2024-12-12,365.0,366.15,357.2,358.25,962688
2024-12-13,357.95,357.95,344.3,349.95,1895116
2024-12-16,350.0,351.35,343.1,344.95,1567587
2024-12-17,344.0,348.6,339.5,340.8,2455792
2024-12-18,339.9,339.9,327.1,329.85,2916011
2024-12-19,325.0,328.8,321.8,324.4,1410699
2024-12-20,322.0,326.75,316.2,318.85,1943922
2024-12-23,318.85,321.85,315.35,318.3,1170407
2024-12-24,316.4,327.55,315.5,321.95,2007306
2024-12-26,321.0,323.8,316.25,320.45,1046250
2024-12-27,319.95,323.0,318.0,320.65,821868
2024-12-30,320.8,323.45,314.2,315.35,897685
2024-12-31,313.75,316.5,311.75,314.35,698205
2025-01-01,314.9,318.75,313.25,314.1,665442
2025-01-02,314.65,322.45,312.5,321.45,1566609
2025-01-03,324.35,326.25,318.05,319.6,1487335
2025-01-06,320.5,329.5,312.0,313.3,2254867
2025-01-07,314.0,319.5,312.6,316.6,4706192
2025-01-08,316.0,325.5,315.95,321.8,8264965
2025-01-09,320.5,322.75,312.6,313.45,1948953
2025-01-10,313.45,313.7,303.5,308.25,1790508
2025-01-13,301.0,308.95,300.15,302.25,2124362
2025-01-14,303.5,310.7,302.05,308.85,1363728
2025-01-15,311.0,314.0,307.0,310.25,889244
2025-01-16,314.5,320.15,310.5,311.25,1672061
2025-01-17,311.25,315.1,310.0,314.05,889751
2025-01-20,312.5,320.55,311.45,319.25,1539466
2025-01-21,319.5,330.95,318.05,323.85,4411476
2025-01-22,322.85,327.8,316.8,327.1,1516812
2025-01-23,328.0,334.25,327.0,332.8,1396610
2025-01-24,331.0,336.35,316.0,317.0,1065326
2025-01-27,314.0,319.95,307.0,309.55,1714757
2025-01-28,313.95,316.9,304.6,308.7,1387371
2025-01-29,309.2,327.75,306.65,314.9,2374589
2025-01-30,316.05,319.3,305.35,308.6,2505973
2025-01-31,308.5,313.75,305.4,310.4,1851313
2025-02-01,303.0,315.8,301.95,308.6,3610224
2025-02-03,305.15,312.5,303.05,308.0,2010682
2025-02-04,309.9,318.85,309.5,312.95,1359023
2025-02-05,315.0,318.55,313.0,317.2,1104992
2025-02-06,317.2,320.8,313.95,318.7,1813885
2025-02-07,320.15,326.4,313.6,316.7,1927372
2025-02-10,314.95,315.7,306.6,309.4,1151699
2025-02-11,309.8,309.8,296.6,299.65,2054091
2025-02-12,300.0,301.25,287.9,291.5,1865540
2025-02-13,292.0,307.5,290.3,298.7,1909739
2025-02-14,299.0,300.75,284.9,286.55,1726981
2025-02-17,289.5,293.0,282.15,285.3,1304830
2025-02-18,286.05,291.65,279.6,290.6,1770214
2025-02-19,288.7,293.0,282.75,285.6,1336296
2025-02-20,286.0,291.45,283.45,290.35,851069
2025-02-21,291.85,301.7,288.2,290.6,2513441
2025-02-24,286.45,287.1,280.2,282.95,1324006
2025-02-25,283.2,288.7,275.0,276.2,1159971
2025-02-27,277.3,291.95,277.2,282.95,4415013
2025-02-28,280.0,284.0,270.0,281.3,2130052
2025-03-03,280.95,283.55,268.1,273.8,1658996
2025-03-04,268.0,280.0,267.2,276.25,2001924
2025-03-05,276.0,287.0,271.95,285.25,1681550
2025-03-06,287.45,291.25,284.7,286.25,1389075
2025-03-07,286.5,290.35,285.05,288.45,973843
2025-03-10,290.0,294.8,287.5,289.05,1518219
2025-03-11,288.0,293.0,280.8,283.85,1406069
2025-03-12,282.95,286.0,277.6,282.85,1293480
2025-03-13,282.85,285.0,280.05,281.35,1525731
2025-03-17,282.0,291.0,281.35,289.65,2066710
2025-03-18,289.65,289.65,289.65,289.65,0
2025-03-19,309.9,325.0,309.15,323.6,3086897
2025-03-20,326.0,326.65,317.15,318.2,1579465
2025-03-21,318.1,337.9,318.0,334.8,5791649
2025-03-24,338.0,354.35,337.25,347.3,5717226
2025-03-25,347.8,352.45,342.0,346.55,2323159
2025-03-26,347.0,356.95,339.75,342.25,6508185
2025-03-27,341.35,348.4,335.0,338.6,4136101
2025-03-28,339.25,352.9,338.35,350.45,4197052
2025-04-01,350.45,354.0,341.05,349.4,2057895
2025-04-02,349.05,351.0,343.0,348.25,1021391
2025-04-03,346.2,364.7,346.1,362.5,3181587
2025-04-04,362.05,362.45,349.15,353.05,1916704
2025-04-07,318.0,349.0,318.0,345.6,2985731
2025-04-08,354.9,356.75,346.3,354.5,1475422
2025-04-09,353.0,354.45,346.75,352.25,1114918
2025-04-11,356.0,367.9,356.0,366.3,1813078
2025-04-15,374.5,384.9,369.65,382.25,2721886
2025-04-16,386.0,386.8,379.4,383.8,1807101
2025-04-17,385.7,391.0,383.25,384.65,1642443
2025-04-21,386.55,399.6,384.1,396.65,1931086
2025-04-22,396.65,408.4,393.25,407.65,2802135
2025-04-23,408.8,416.75,397.6,402.7,2622945
2025-04-24,403.0,405.7,394.05,396.35,2720935
2025-04-25,397.9,398.9,378.0,380.4,2847797
2025-04-28,369.0,387.0,363.5,385.65,4331799
2025-04-29,385.6,391.0,381.2,383.8,2550064
2025-04-30,385.0,388.45,372.35,375.25,1284119
2025-05-02,375.25,384.0,374.45,378.2,975976
2025-05-05,379.0,395.55,379.0,387.9,1707299
2025-05-06,387.0,388.2,368.0,369.55,1173717
2025-05-07,373.45,387.7,371.0,383.25,3153446
2025-05-08,384.6,388.2,368.1,371.2,716648
2025-05-09,362.15,373.5,362.15,372.0,1604197
2025-05-12,377.1,389.4,377.05,385.55,1626182
2025-05-13,386.1,390.0,379.05,383.3,1205463
2025-05-14,385.0,393.6,383.3,390.35,1504573
2025-05-15,392.0,395.9,389.1,389.9,1007934
2025-05-16,391.0,397.1,388.8,395.15,1189194
2025-05-19,395.15,398.8,391.6,395.25,920982
2025-05-20,395.3,397.7,388.0,392.05,1531198
2025-05-21,394.5,398.0,388.9,397.2,845767
2025-05-22,395.9,397.9,389.1,395.55,1036720
2025-05-23,394.5,400.95,391.65,397.0,987526
2025-05-26,397.0,404.55,395.0,396.3,1018903
2025-05-27,395.15,401.8,392.75,400.25,816786
2025-05-28,402.6,402.7,395.25,401.1,975467
2025-05-29,403.0,407.3,401.1,403.65,1469015
2025-05-30,404.0,406.0,397.0,403.75,788870
2025-06-02,404.35,411.8,402.0,407.3,1125342
2025-06-03,409.0,413.8,401.35,402.45,1054216
2025-06-04,403.0,404.25,396.7,401.65,549955
2025-06-05,401.75,406.9,399.5,405.0,773750
2025-06-06,404.9,423.75,402.85,421.1,3648823
2025-06-09,426.9,433.7,424.35,431.25,3375077
2025-06-10,432.0,434.05,425.0,426.75,1283872
2025-06-11,426.9,431.5,421.8,426.4,1045875
2025-06-12,424.0,429.4,419.95,422.8,1422843
2025-06-13,409.2,420.05,407.95,416.6,882218
2025-06-16,414.05,421.9,409.2,420.15,547751
2025-06-17,420.0,424.15,418.0,420.9,700477
2025-06-18,420.85,425.95,417.1,419.0,492064
2025-06-19,419.0,421.9,410.55,411.7,1102359
2025-06-20,411.75,420.8,407.7,414.9,1990017
2025-06-23,409.1,439.5,409.1,437.55,4847503
2025-06-24,437.5,454.35,434.35,444.05,6949587
2025-06-25,444.5,447.5,433.2,438.7,2615905
2025-06-26,442.9,451.5,436.1,449.65,2485005
2025-06-27,449.2,458.05,446.8,455.75,2082063
2025-06-30,451.65,467.55,451.65,466.05,2589703
2025-07-01,464.1,469.0,460.35,464.05,1960276
2025-07-02,464.1,467.4,458.35,464.55,950547
2025-07-03,462.0,468.65,462.0,466.4,811777
2025-07-04,468.0,483.4,467.0,472.55,4180934
2025-07-07,472.4,472.4,462.7,468.3,1016015
2025-07-08,466.1,472.75,466.1,470.15,1912376
2025-07-09,471.9,473.2,466.2,468.75,1294233
2025-07-10,469.1,471.9,466.1,467.3,538504
2025-07-11,464.05,467.8,450.05,454.8,807991
2025-07-14,453.25,456.8,445.4,454.55,1201028
2025-07-15,455.8,457.7,451.3,454.1,509586
2025-07-16,454.1,456.9,448.3,453.4,455356
2025-07-17,456.0,456.0,445.65,447.8,460208
2025-07-18,449.2,457.3,446.45,452.2,1464478
2025-07-21,453.5,465.9,453.5,458.85,2683674
2025-07-22,461.5,465.3,451.0,452.4,813900
2025-07-23,454.9,456.15,442.5,446.45,763033
2025-07-24,446.45,446.45,430.2,432.45,1609705
2025-07-25,431.0,431.0,406.8,413.3,3003450
2025-07-28,421.65,444.9,417.1,420.65,13211757
2025-07-29,421.7,421.7,401.1,415.65,3715939
2025-07-30,413.9,426.4,411.9,414.0,1349554
2025-07-31,409.6,430.6,409.25,422.25,2267648
2025-08-01,424.3,424.85,411.0,419.35,1833701
2025-08-04,418.65,432.5,414.05,431.1,1392947
2025-08-05,430.0,440.5,424.2,438.4,1309339
2025-08-06,438.0,443.55,432.45,440.4,1112061
2025-08-07,440.0,446.0,436.5,444.5,977142
2025-08-08,444.5,445.0,432.6,434.3,587328
2025-08-11,434.3,443.4,432.6,442.45,570685
2025-08-12,442.75,450.9,440.65,446.75,841062
2025-08-13,448.05,457.25,448.05,451.75,1117629
2025-08-14,452.05,461.0,452.05,455.75,841917
2025-08-18,458.0,474.25,458.0,467.9,1666630
2025-08-19,469.0,470.4,461.7,469.75,727061
2025-08-20,469.2,469.2,461.75,462.8,459875
2025-08-21,463.0,466.3,449.45,450.75,756245
2025-08-22,451.0,467.0,449.55,465.5,1707005
2025-08-25,465.9,470.95,462.9,467.7,1338551
2025-08-26,466.95,469.9,450.65,452.7,1161972
2025-08-28,452.95,455.2,421.4,429.6,3079415
2025-08-29,428.45,433.5,423.05,431.55,989138
2025-09-01,431.65,433.2,426.1,428.7,758691
2025-09-02,431.0,433.05,424.4,425.75,957757
2025-09-03,425.95,445.0,424.0,442.95,974022
2025-09-04,444.05,452.8,430.6,432.75,1042845
2025-09-05,436.3,438.25,430.6,431.6,378565
2025-09-08,432.85,435.0,427.05,428.9,269428
2025-09-09,430.0,435.0,426.6,430.9,424106
2025-09-10,430.4,453.0,430.4,450.45,1900526
2025-09-11,449.0,452.45,436.9,438.4,620172
2025-09-12,441.9,444.35,437.4,439.45,575155
2025-09-15,437.5,447.5,435.7,439.15,792558
2025-09-16,439.2,447.7,438.5,441.85,3223407
2025-09-17,443.55,456.75,442.8,447.1,1850309
2025-09-18,453.0,513.35,451.0,502.1,66654495
2025-09-19,502.1,509.0,493.45,500.25,9163262
2025-09-22,498.0,501.35,482.3,484.45,3312490
2025-09-23,485.95,489.4,478.45,482.95,1123046
2025-09-24,482.95,493.9,480.0,485.5,2014592
2025-09-25,484.9,501.0,481.0,493.45,2930030
2025-09-26,488.65,492.5,481.55,485.25,870181
2025-09-29,490.25,506.2,487.25,501.5,4087102
2025-09-30,502.0,503.7,487.25,497.6,1562738
2025-10-01,501.1,506.0,489.35,502.25,1534963
2025-10-03,505.0,528.8,499.35,524.4,5528559
2025-10-06,530.0,570.4,511.5,531.45,23134466
2025-10-07,531.5,545.0,526.75,537.0,4003402
2025-10-08,534.9,535.95,516.9,526.55,2234852
2025-10-09,526.55,533.9,524.2,530.85,1023794
2025-10-10,530.85,533.35,527.1,529.15,614025
2025-10-13,526.55,532.7,523.25,528.35,954531
2025-10-14,531.4,535.5,514.1,517.2,1168976
2025-10-15,514.05,544.1,514.05,542.5,2424636
2025-10-16,544.8,544.8,534.5,539.4,958609
2025-10-17,539.4,539.4,524.25,526.4,1198367
2025-10-20,530.0,531.7,503.25,511.9,3060397
2025-10-21,516.0,518.9,512.0,514.9,275387
2025-10-23,516.0,517.9,487.0,489.65,1719301
2025-10-24,492.05,493.0,483.15,484.55,958487
2025-10-27,486.0,512.5,481.5,490.4,6105370
2025-10-28,491.05,503.6,489.15,493.45,1727764
2025-10-29,493.45,493.9,480.0,487.8,1654852
2025-10-30,487.8,488.35,480.4,483.05,681219
2025-10-31,484.4,492.85,478.8,481.85,1169566
2025-11-03,479.0,487.9,472.85,474.6,1429196
2025-11-04,475.0,487.8,470.0,472.65,1481997
2025-11-06,472.65,474.0,460.0,462.9,932409
2025-11-07,463.4,466.05,457.6,463.6,786396
2025-11-10,463.6,467.8,456.7,458.55,718497
2025-11-11,459.9,471.7,453.55,468.45,1210511
2025-11-12,470.8,491.0,462.8,489.3,2241542
2025-11-13,490.05,494.4,477.6,478.95,1048846
2025-11-14,475.0,475.2,465.2,469.2,1154143
2025-11-17,467.0,470.3,465.4,469.0,595412
2025-11-18,469.0,469.0,463.5,465.5,436502
2025-11-19,465.0,473.5,462.2,468.6,856101
2025-11-20,468.6,470.1,464.55,468.45,442595
2025-11-21,466.1,474.9,462.85,470.2,760343
2025-11-24,470.2,470.4,451.5,456.4,825778
2025-11-25,459.75,464.0,457.25,459.75,737865
2025-11-26,459.0,473.0,459.0,469.35,584519
2025-11-27,473.0,473.0,464.5,465.6,348992
2025-11-28,469.1,489.0,466.95,480.3,6019124
2025-12-01,481.5,503.8,479.15,484.75,4059184
2025-12-02,485.0,485.65,473.5,475.35,763578
2025-12-03,476.0,476.0,459.45,462.5,636625
2025-12-04,461.25,469.0,458.7,463.95,590000
2025-12-05,464.05,473.1,457.0,470.65,962629
2025-12-08,469.0,469.8,441.55,446.65,1484364
2025-12-09,447.0,459.0,441.3,455.3,1095234
2025-12-10,455.3,459.9,446.0,449.2,560763
2025-12-11,449.5,454.9,446.9,449.25,373581
2025-12-12,453.0,457.5,449.15,451.45,676642
2025-12-15,446.05,450.55,441.65,443.1,796345
2025-12-16,443.0,445.25,438.05,442.1,517393
2025-12-17,442.1,445.0,436.35,441.85,424407
2025-12-18,443.95,445.4,433.15,444.0,820421
2025-12-19,443.2,452.2,440.2,448.8,658856
2025-12-22,452.9,473.0,450.35,470.35,1613422
2025-12-23,471.0,474.75,466.75,470.9,488054
2025-12-24,470.3,482.5,468.0,469.15,850172
2025-12-26,469.95,477.3,466.0,473.0,881629
2025-12-29,473.0,479.45,468.95,476.2,622367
2025-12-30,476.2,486.9,471.0,483.8,1458174
2025-12-31,484.9,486.9,479.3,482.95,615029
2026-01-01,485.85,490.0,481.0,483.2,740840
2026-01-02,484.7,489.0,478.3,480.55,704071
2026-01-05,484.0,497.4,476.4,485.1,2435095
2026-01-06,485.9,490.5,477.5,479.25,755474
2026-01-07,478.0,481.95,466.65,470.4,844875
2026-01-08,471.0,471.0,456.3,460.5,612870
2026-01-09,460.55,467.55,457.5,462.4,1202762
2026-01-12,459.0,460.1,446.35,450.5,661597
2026-01-13,453.5,463.35,449.3,461.15,569642
2026-01-14,459.0,474.0,456.35,471.25,715687
2026-01-15,471.25,471.25,471.25,471.25,0
2026-01-16,474.6,482.0,460.3,463.95,1375896
2026-01-19,476.5,492.6,462.1,473.0,5874846
2026-01-20,473.7,474.0,443.0,448.0,1445050
2026-01-21,448.0,448.2,430.7,439.6,1202626
2026-01-22,444.0,449.0,437.0,447.7,1168503
2026-01-23,448.65,448.65,410.5,414.4,2494967
2026-01-27,416.0,416.0,393.05,404.4,2164966
2026-01-28,409.15,411.75,393.85,406.3,1380940
2026-01-29,406.3,407.0,396.9,399.9,1029766
2026-01-30,394.85,401.95,390.25,399.0,847134
2026-02-02,386.3,396.0,373.8,394.25,1513670
2026-02-03,409.05,415.0,400.0,409.4,1428970
2026-02-04,411.0,422.5,403.75,420.2,1191232
2026-02-05,418.1,418.2,396.0,410.05,1950285
2026-02-06,410.3,442.4,402.75,431.5,2140087
2026-02-09,430.7,471.75,427.2,465.85,7288269
2026-02-10,460.0,494.0,457.15,485.9,4126476
2026-02-11,484.0,503.0,478.7,489.3,4915353
2026-02-12,484.45,489.8,470.0,472.65,1410022
2026-02-13,471.95,472.8,460.0,464.15,769227
2026-02-16,462.0,479.6,458.6,460.7,1446943
2026-02-17,460.75,486.5,459.1,475.95,2592232
2026-02-18,477.45,493.0,475.5,490.4,2329178
2026-02-19,490.35,493.8,471.1,474.8,1433197
2026-02-20,474.8,479.7,468.0,471.15,990063
2026-02-23,473.1,480.5,467.0,473.0,1311512
2026-02-24,471.0,472.25,465.65,468.1,478965
2026-02-25,470.0,472.9,454.6,461.05,1082759
2026-02-26,473.0,475.55,461.25,464.2,3087474
2026-02-27,464.0,464.0,450.0,454.8,946390
2026-03-02,440.0,452.7,433.0,438.45,1191394
2026-03-04,432.0,433.7,420.35,425.85,2745648
2026-03-05,429.0,435.5,425.0,433.6,533394
2026-03-06,431.0,435.7,421.0,423.5,408658
2026-03-09,415.0,416.95,404.15,413.65,580988
2026-03-10,416.95,426.5,412.3,424.25,823564
2026-03-11,425.15,428.0,414.1,417.7,736097
2026-03-12,411.0,415.8,405.0,410.95,804676
2026-03-13,409.1,410.6,400.15,408.35,1081386
2026-03-16,407.8,426.7,402.55,423.4,2036962
2026-03-17,427.0,427.0,404.6,406.0,1976263
2026-03-18,408.0,416.0,406.2,412.05,2263414
2026-03-19,406.0,406.0,398.0,400.25,714833
2026-03-20,404.95,409.5,391.2,393.6,2014796
2026-03-23,389.9,389.9,369.2,376.2,1464914
2026-03-24,388.0,388.3,371.8,381.45,916089
2026-03-25,385.25,396.0,382.15,390.65,740297
2026-03-27,388.55,389.0,377.0,384.55,1716532
2026-03-30,377.05,383.95,361.2,368.4,1085105
2026-04-01,373.0,387.85,373.0,382.65,663831
2026-04-02,379.7,395.9,366.7,393.3,1026499
2026-04-06,394.0,406.0,385.5,395.5,1162773
2026-04-07,397.0,411.9,396.6,404.75,2348923
2026-04-08,416.0,429.95,413.1,414.8,2278099
2026-04-09,418.0,421.85,396.6,401.75,4830863
2026-04-10,395.0,413.4,394.0,400.25,5800292
2026-04-13,394.0,411.0,387.35,408.75,4188411
2026-04-15,414.1,418.8,408.65,414.4,2035643
2026-04-16,416.0,416.0,400.1,407.15,5836499
2026-04-17,407.75,417.4,401.85,413.75,2687668
2026-04-20,414.0,421.8,404.9,418.2,2927314
2026-04-21,420.85,426.4,417.25,422.5,4575565
2026-04-22,420.0,433.4,419.7,424.1,2719870
2026-04-23,420.0,428.4,417.4,420.15,1311394
2026-04-24,422.2,423.85,412.0,416.55,1261407
2026-04-27,419.3,423.75,416.8,420.0,1417594
2026-04-28,420.0,424.5,413.35,415.9,1711414
