Date,Open,High,Low,Close,Volume
2026-03-06,195.6,198.93,195.0,195.4,9022914
2026-03-09,194.0,199.5,193.03,198.75,25862728
2026-03-10,200.5,201.31,197.42,200.93,12982340
2026-03-11,202.69,205.95,201.58,202.23,29199002
2026-03-12,201.06,203.8,199.7,202.51,19042475
2026-03-13,200.6,202.07,196.04,197.58,12629652
2026-03-16,196.24,198.29,192.77,195.11,12631649
2026-03-17,195.0,195.11,188.25,191.32,21778468
2026-03-18,193.0,198.0,192.69,194.3,24529164
2026-03-19,191.98,192.79,187.68,188.41,13685195
2026-03-20,191.19,192.3,188.41,190.9,24395304
2026-03-23,189.41,190.62,187.0,187.54,12014988
2026-03-24,191.5,191.5,187.8,188.74,11843191
2026-03-25,189.0,190.62,187.9,189.05,13862888
2026-03-27,189.05,192.29,187.9,191.6,26269256
2026-03-30,189.99,191.63,186.5,187.64,27946986
2026-04-01,191.51,194.49,190.41,191.18,11769673
2026-04-02,190.5,195.34,188.58,194.91,16623045
2026-04-06,197.0,201.18,196.11,197.29,23282287
2026-04-07,197.01,205.27,197.01,204.72,24771466
2026-04-08,207.7,209.0,202.8,203.42,22084158
2026-04-09,203.71,204.16,201.63,202.87,14540807
2026-04-10,208.7,208.7,200.62,204.88,51219565
2026-04-13,203.01,203.4,200.31,202.97,21930624
2026-04-15,206.5,210.49,205.1,209.75,27890080
2026-04-16,212.98,212.98,208.21,210.26,36305074
2026-04-17,205.0,206.45,202.5,204.32,80542603
2026-04-20,204.5,205.2,202.0,202.48,27927164
2026-04-21,203.0,205.7,202.48,205.01,21530723
2026-04-22,203.5,205.38,202.2,204.0,21790433
2026-04-23,204.0,204.9,202.3,202.76,20307250
2026-04-24,202.75,202.75,197.88,199.36,39363394
2026-04-27,199.36,205.25,199.36,205.05,42632215
2026-04-28,204.56,205.68,201.02,201.58,23455983
2026-04-29,201.58,203.6,200.3,200.68,15667662
2026-04-30,200.89,202.15,200.0,200.65,15300274
2026-05-01,200.65,200.65,200.65,200.65,0
2026-05-04,202.4,203.37,200.06,200.75,8446995
2026-05-05,200.0,202.3,199.6,199.78,8899200
2026-05-06,200.51,201.13,198.25,199.12,13166683
2026-05-07,199.5,200.28,197.19,197.36,19303572
2026-05-08,198.0,198.94,196.7,197.91,15970687
2026-05-11,197.88,198.24,196.15,196.68,9199527
2026-05-12,196.1,196.14,189.1,189.57,27435195
2026-05-13,190.67,191.3,187.31,187.8,17242394
2026-05-14,188.25,190.18,187.0,188.3,18280387
2026-05-15,189.9,191.9,188.8,190.0,17902610
2026-05-18,190.99,192.75,189.2,192.17,16327369
2026-05-19,192.4,198.0,192.4,195.17,20534622
2026-05-20,194.61,197.94,194.01,197.12,16201692
2026-05-21,198.5,200.04,197.5,199.74,18980608
2026-05-22,200.0,205.4,198.83,203.11,40014399
2026-05-25,207.0,209.55,204.06,206.84,72041558
2026-05-26,206.99,208.69,202.94,203.73,46458415
2026-05-27,203.85,205.99,200.2,201.58,39465643
2026-05-28,201.58,201.58,201.58,201.58,0
2026-05-29,211.0,211.0,203.65,204.25,82734524
2026-06-01,205.1,207.75,205.1,206.41,26491139
2026-06-02,208.0,210.18,206.51,209.84,42476874
2026-06-03,208.0,208.4,202.0,204.1,62282204
2026-06-04,203.0,205.09,202.1,204.32,40659957
2026-06-05,191.52,199.0,188.15,198.37,43539069
2026-06-08,193.39,193.89,181.0,181.76,75164049
2026-06-09,183.97,184.35,180.6,181.67,28381665
2026-06-10,182.1,182.29,178.5,178.93,16935979
2026-06-11,176.97,178.2,175.83,177.37,14468882
2026-06-12,178.65,180.45,177.57,180.14,13850153
2026-06-15,183.0,183.0,180.91,181.38,13870660
2026-06-16,182.39,183.38,181.63,182.67,11706020
2026-06-17,184.0,185.25,183.58,184.47,16131548
2026-06-18,184.47,184.76,181.71,182.84,18165845
2026-06-19,176.76,181.48,174.89,180.8,37469436
2026-06-22,180.84,182.4,180.0,180.18,10368112
2026-06-23,179.5,179.5,174.0,174.49,23954730
2026-06-24,171.5,175.49,171.49,174.48,56610041
