Date,Open,High,Low,Close,Volume
2016-07-07,118.06,126.23,116.66,124.59,1390643
2016-07-08,123.88,123.88,119.43,120.46,421508
2016-07-11,121.96,121.96,117.36,118.06,360174
2016-07-12,118.63,119.71,117.41,118.11,277949
2016-07-13,118.58,121.3,117.88,118.96,290887
2016-07-14,118.91,119.85,117.6,118.25,351864
2016-07-15,118.63,119.0,115.3,115.53,268637
2016-07-18,116.28,120.08,115.95,117.36,508689
2016-07-19,118.16,121.07,117.31,118.35,374110
2016-07-20,119.96,120.81,119.01,120.05,205580
2016-07-21,120.34,121.66,118.54,119.15,179982
2016-07-22,119.58,121.09,118.63,119.15,208178
2016-07-25,119.39,122.04,119.15,119.96,387761
2016-07-26,120.15,121.47,118.91,119.15,172424
2016-07-27,120.71,121.76,119.58,120.29,258824
2016-07-28,125.07,126.02,121.09,122.52,726848
2016-07-29,122.52,123.56,118.91,119.39,411080
2016-08-01,113.7,115.98,108.97,114.51,2169335
2016-08-02,115.6,118.25,113.85,114.94,626160
2016-08-03,115.22,115.98,112.28,113.13,154688
2016-08-04,114.51,115.6,111.9,113.75,169016
2016-08-05,114.46,115.6,113.18,113.75,197125
2016-08-08,113.89,114.65,112.85,113.75,203168
2016-08-09,113.8,115.36,112.76,114.27,197201
2016-08-10,114.6,114.94,110.48,110.96,149007
2016-08-11,111.81,112.57,111.29,111.57,58632
2016-08-12,112.33,112.47,109.91,110.43,115993
2016-08-16,111.1,111.1,109.2,109.53,98261
2016-08-17,109.16,112.52,109.16,109.87,117735
2016-08-18,110.39,111.57,110.06,110.48,103997
2016-08-19,110.58,113.42,110.2,110.53,263342
2016-08-22,111.29,111.95,110.1,110.62,144133
2016-08-23,110.81,114.27,110.53,112.99,284434
2016-08-24,112.85,114.84,111.33,113.56,202040
2016-08-25,113.7,114.84,111.05,111.48,110000
2016-08-26,112.05,114.65,111.38,111.71,155197
2016-08-29,111.71,111.76,108.59,108.87,258776
2016-08-30,110.86,113.66,109.01,109.82,607255
2016-08-31,110.06,112.28,109.77,110.34,262178
2016-09-01,111.19,111.62,109.53,110.1,144821
2016-09-02,110.1,111.14,109.82,110.1,106347
2016-09-06,110.81,112.85,109.2,112.28,210993
2016-09-07,114.75,116.21,112.99,113.32,560271
2016-09-08,113.28,116.07,111.14,112.28,547055
2016-09-09,112.71,113.7,110.86,111.19,179949
2016-09-12,109.34,111.24,108.97,109.49,223935
2016-09-14,109.72,110.86,109.01,109.68,131215
2016-09-15,110.1,110.62,108.4,108.78,169583
2016-09-16,109.44,112.61,109.34,109.77,308150
2016-09-19,110.77,112.14,108.97,109.11,179828
2016-09-20,110.39,110.77,109.11,109.49,163055
2016-09-21,109.63,111.81,109.63,110.29,154882
2016-09-22,111.9,112.42,110.72,111.52,255545
2016-09-23,112.19,113.42,109.39,109.87,1080835
2016-09-26,109.87,110.72,108.97,109.63,200959
2016-09-27,110.15,111.24,109.58,109.87,190363
2016-09-28,110.15,110.53,109.53,109.72,154680
2016-09-29,110.29,111.1,102.81,103.52,475082
2016-09-30,103.56,106.12,103.28,105.36,147446
2016-10-03,106.31,110.39,106.17,109.68,313761
2016-10-04,109.91,110.58,108.02,108.87,135932
2016-10-05,109.39,110.39,108.02,108.82,179367
2016-10-06,109.01,112.0,108.54,109.16,277201
2016-10-07,109.2,109.63,108.49,108.68,96340
